# timestamps,qw,qx,qy,qz,tx,ty,tz,vx,vy,vz,FR_qw,FR_qx,FR_qy,FR_qz,FR_tx,FR_ty,FR_tz,FL_qw,FL_qx,FL_qy,FL_qz,FL_tx,FL_ty,FL_tz,RR_qw,RR_qx,RR_qy,RR_qz,RR_tx,RR_ty,RR_tz,RL_qw,RL_qx,RL_qy,RL_qz,RL_tx,RL_ty,RL_tz
0.000000000000000000e+00,9.999890202826619001e-01,-2.952803296968181646e-04,-4.676747659764913037e-03,-1.244892870750133889e-05,-2.743127249110407801e-03,2.300196421044901646e-03,2.622893751834761700e-01,2.571636430447178656e-02,4.111845041878838653e-04,5.174114795314853528e-03,8.964409174240254297e-01,-1.930852197449995527e-04,-4.431632179423751761e-01,8.092606712740795221e-05,1.679171249306630198e-01,-1.320420166353269420e-01,1.998960302040715675e-02,8.960230948219274349e-01,-1.922149257119686819e-04,-4.440073986803002026e-01,8.072366710333064431e-05,1.682860640968110721e-01,1.320584247396398292e-01,1.998961503398070244e-02,8.815015585425673983e-01,-2.047383186331946893e-04,-4.721810578546596360e-01,9.472328148895843862e-05,-1.846680577094094722e-01,-1.320406381741900670e-01,1.999002003513189463e-02,8.814103979620636631e-01,-2.059909016229920578e-04,-4.723512028411485097e-01,9.542863929502813810e-05,-1.846757876295631595e-01,1.320586993101062478e-01,1.999001962856365722e-02
5.000000000000000104e-03,9.999892733519023524e-01,-2.839949162834759381e-04,-4.623025179970048637e-03,-1.289213107584048025e-05,-2.555044710908091314e-03,2.300013770253967436e-03,2.623283722268973106e-01,4.555398762225108117e-02,-3.349858044286163758e-04,9.548501830763920367e-03,8.965897911734053150e-01,-1.939616931738284309e-04,-4.428619449712444256e-01,8.024199354251444782e-05,1.679305649273330481e-01,-1.320419967811345130e-01,1.998976356325109227e-02,8.961748566321799947e-01,-1.930956278711886689e-04,-4.437010059125492401e-01,8.004100228184013726e-05,1.682997383101373923e-01,1.320584429015873029e-01,1.998978644332907728e-02,8.816890248272961639e-01,-2.067431848503698834e-04,-4.718309144194935967e-01,9.462775243031334136e-05,-1.846521771786099608e-01,-1.320405594344332967e-01,1.999005974568963950e-02,8.816006853442122093e-01,-2.080329521086316576e-04,-4.719959525579556225e-01,9.535100590756094183e-05,-1.846596743928283213e-01,1.320587590599763550e-01,1.999006452465491857e-02
1.000000000000000021e-02,9.999893465855018704e-01,-2.199770277213523926e-04,-4.610647374480138574e-03,-1.601238567964708874e-05,-2.267749533327440697e-03,2.296091051390362989e-03,2.623891077569342478e-01,6.540204901138890747e-02,-1.084345202177369911e-03,1.387706564899153505e-02,8.968440357031630672e-01,-1.881182229905462521e-04,-4.423468491249440970e-01,7.283152942110601594e-05,1.679535321922539792e-01,-1.320423345863998843e-01,1.998991575499165646e-02,8.964421089848247926e-01,-1.872651426166125743e-04,-4.431608115533368641e-01,7.262226706874884028e-05,1.683238326276073338e-01,1.320580990229774376e-01,1.998994835364337891e-02,8.819560649035295130e-01,-2.058621761703230554e-04,-4.713315703331170115e-01,8.948722608327981567e-05,-1.846295349693387045e-01,-1.320406755144703237e-01,1.999006349160373924e-02,8.818807500397158883e-01,-2.071961802783561400e-04,-4.714724717717634905e-01,9.022502222370174473e-05,-1.846359385007491083e-01,1.320586205693200232e-01,1.999006831636418458e-02
1.499999999999999944e-02,9.999891470733374144e-01,-1.042243961289221010e-04,-4.657724429306277399e-03,-2.181639491765492600e-05,-1.881235543809652239e-03,2.288402053339007834e-03,2.624713070782389024e-01,8.524538841077317075e-02,-1.840307213664426006e-03,1.814493970799057818e-02,8.972031753602878190e-01,-1.755449278936569823e-04,-4.416179659312505779e-01,5.894183286422040405e-05,1.679860113887647888e-01,-1.320430279099218951e-01,1.999002321136775923e-02,8.968236721144434709e-01,-1.747002427987624502e-04,-4.423881408538441473e-01,5.871004706169613216e-05,1.683582712541876192e-01,1.320573988496493989e-01,1.999002758116420753e-02,8.823032203084116842e-01,-2.018355769642359986e-04,-4.706814000896787920e-01,7.940671161072426342e-05,-1.846000617368480645e-01,-1.320409943445012280e-01,1.999006868830001393e-02,8.822504017873027404e-01,-2.032082084201740466e-04,-4.707803955439683330e-01,8.015005679961218366e-05,-1.846045703525124038e-01,1.320582785045636698e-01,1.999007353622968969e-02
2.000000000000000042e-02,9.999886598323910469e-01,5.769897964040634797e-05,-4.761929696569985535e-03,-3.005014649325722745e-05,-1.395566857004523331e-03,2.276913254491161852e-03,2.625746350844628263e-01,1.050704582075911581e-01,-2.603050869292873343e-03,2.234152463233738187e-02,8.976664339878039911e-01,-1.562167525878725108e-04,-4.406755579511095200e-01,3.888989606003889895e-05,1.680279739320427734e-01,-1.320440718451414697e-01,1.999002961581020088e-02,8.973177689224818288e-01,-1.553672876668237164e-04,-4.413850880415554623e-01,3.862037888183041622e-05,1.684029407431461567e-01,1.320563469137989165e-01,1.999003428132867938e-02,8.827312738356346555e-01,-1.943248816638117060e-04,-4.698781291651834557e-01,6.451809986857801505e-05,-1.845636609854983956e-01,-1.320415247372585532e-01,1.999007527410161938e-02,8.827094658545052708e-01,-1.957202556579804118e-04,-4.699190955114424528e-01,6.525444933368905367e-05,-1.845655508592348726e-01,1.320577235478158362e-01,1.999008015103320018e-02
2.500000000000000139e-02,9.999878581099385100e-01,2.603382499774498592e-04,-4.920794542655242826e-03,-4.046927354104281862e-05,-8.108733969017812302e-04,2.261592392241171170e-03,2.626987061930475265e-01,1.248643932329076417e-01,-3.372016695197239868e-03,2.645716003904520844e-02,8.982326565373592864e-01,-1.301065081122880073e-04,-4.395202812540944803e-01,1.297908554755345402e-05,1.680793707456827990e-01,-1.320454618100583011e-01,1.999003744226808543e-02,8.979223104724560756e-01,-1.292294368482733405e-04,-4.401539588546062864e-01,1.265608112081945859e-05,1.684577150782029242e-01,1.320549474287932290e-01,1.999004247329178724e-02,8.832409282106311599e-01,-1.830228186152679088e-04,-4.689194250784795015e-01,4.494817946908276037e-05,-1.845202360027322908e-01,-1.320422746656848834e-01,1.999008323072269666e-02,8.832576927082119722e-01,-1.844133675048701207e-04,-4.688878460554417593e-01,4.566140676092097508e-05,-1.845188590531439965e-01,1.320569472235634256e-01,1.999008814184106975e-02
2.999999999999999889e-02,9.999867066755493417e-01,4.985285333378343267e-04,-5.131778314898602887e-03,-5.284710996885992292e-05,-1.273482520704130735e-04,2.242411769165881304e-03,2.628430867875751753e-01,1.446146973961959237e-01,-4.146063292047278033e-03,3.048225088993688006e-02,8.989004882668027996e-01,-9.719027633787297692e-05,-4.381528299641619939e-01,-1.849729153957350126e-05,1.681401481653261309e-01,-1.320471932959672856e-01,1.999004667235928373e-02,8.986350097293793748e-01,-9.625328649872054172e-05,-4.386970591047775758e-01,-1.888921383144916486e-05,1.685224652842791937e-01,1.320532045875600358e-01,1.999005212515745505e-02,8.838327885660708372e-01,-1.676562012656753451e-04,-4.678029214459238916e-01,2.082258801032759829e-05,-1.844696910254060018e-01,-1.320432510692431116e-01,1.999009253796630442e-02,8.838947540137964687e-01,-1.690025679632485545e-04,-4.676858291663839040e-01,2.149358669973068075e-05,-1.844644723259751540e-01,1.320559421363233232e-01,1.999009748590354490e-02
3.500000000000000333e-02,9.999851648675924798e-01,7.674025886681037738e-04,-5.392277112980351644e-03,-6.697415713602948887e-05,6.547545819556058969e-04,2.219351012395279731e-03,2.630072962889935528e-01,1.643093952612117992e-01,-4.923510401615783898e-03,3.440754451585591178e-02,8.996683182892081243e-01,-5.745223807965257537e-05,-4.365740609716591836e-01,-5.525054181314078850e-05,1.682102425587354011e-01,-1.320492616075771841e-01,1.999005728768511042e-02,8.994533480268588344e-01,-5.641455972807579066e-05,-4.370167827845455322e-01,-5.572537196107522114e-05,1.685970557560861338e-01,1.320511228490597044e-01,1.999006320213887050e-02,8.845073524432308654e-01,-1.479857438104881370e-04,-4.665262281097767305e-01,-7.729841463266448021e-06,-1.844119317686939152e-01,-1.320444597641984019e-01,1.999010317217380511e-02,8.846202369900728613e-01,-1.492376557259532258e-04,-4.663121422234521862e-01,-7.122110111272132104e-06,-1.844023667944786060e-01,1.320547020938252769e-01,1.999010815706742800e-02
4.000000000000000083e-02,9.999831892161438196e-01,1.062392138320414695e-03,-5.699629442688706332e-03,-8.265754855804606537e-05,1.535122918931586082e-03,2.192399595869147684e-03,2.631908088650726785e-01,1.839370700291206029e-01,-5.702196202126874787e-03,3.822412961155807753e-02,9.005342916225668182e-01,-1.088917979666470725e-05,-4.347849814401116841e-01,-9.699169683565979263e-05,1.682895810552161864e-01,-1.320516616252236375e-01,1.999006926569385501e-02,9.003745911480269815e-01,-9.703241236543062246e-06,-4.351156007347622978e-01,-9.756073675444980092e-05,1.686813450144778181e-01,1.320487071930204204e-01,1.999007566680525982e-02,8.852650001850950190e-01,-1.238059868638992725e-04,-4.650869407682653445e-01,-4.057311121865137362e-05,-1.843468659232841700e-01,-1.320459053594243981e-01,1.999011510655551022e-02,8.854336384111730629e-01,-1.249038410870027729e-04,-4.647658063637608583e-01,-4.005028931134602306e-05,-1.843325176862897208e-01,1.320532222133311007e-01,1.999012012590210829e-02
4.499999999999999833e-02,9.999807356323662244e-01,1.379226550563925069e-03,-6.051128337535609941e-03,-9.972019184286879420e-05,2.513389325808225872e-03,2.161559110372417332e-03,2.633930553612683356e-01,2.034869141510966539e-01,-6.479523188080540778e-03,4.192351068396361902e-02,9.014963221312894959e-01,4.248534934584752190e-05,-4.327867359420726201e-01,-1.434271943150572978e-04,1.683780823062286935e-01,-1.320543875912956744e-01,1.999008258014881023e-02,9.013958056873216940e-01,4.387185615132140146e-05,-4.329960494050618114e-01,-1.440977918747780840e-04,1.687751864654958855e-01,1.320459633417742917e-01,1.999008947948041626e-02,8.861059856032672544e-01,-9.494524347827701600e-05,-4.634826504280694093e-01,-7.756052572518587430e-05,-1.842744036342073011e-01,-1.320475911819360137e-01,1.999012831145292879e-02,8.863343583037092133e-01,-9.582217301588971973e-05,-4.630457754448908947e-01,-7.714339143694338183e-05,-1.842548997453948290e-01,1.320514990085790985e-01,1.999013336004881042e-02
