# timestamps,wx,wy,wz,ax,ay,az,FR_contact,FL_contact,RR_contact,RL_contact,FL_hip_fixed,FL_hip_joint,FL_lower_joint,FL_toe_fixed,FL_upper_joint,FR_hip_fixed,FR_hip_joint,FR_lower_joint,FR_toe_fixed,FR_upper_joint,RL_hip_fixed,RL_hip_joint,RL_lower_joint,RL_toe_fixed,RL_upper_joint,RR_hip_fixed,RR_hip_joint,RR_lower_joint,RR_toe_fixed,RR_upper_joint,imu_joint
0.000000000000000000e+00,-1.120758242905139923e-03,3.420142829418182373e-02,1.402825582772493362e-04,9.175685373162430214e-02,-5.792194172581721125e-03,9.809569161297551076e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.743035632169785904e-04,-1.833811370518500850e+00,0.000000000000000000e+00,9.230325389728721852e-01,0.000000000000000000e+00,1.725394262872777305e-04,-1.833020355834793502e+00,0.000000000000000000e+00,9.241253681585301916e-01,0.000000000000000000e+00,1.371670610410983876e-04,-1.852836761810773725e+00,0.000000000000000000e+00,8.782774194143698754e-01,0.000000000000000000e+00,1.400365246700972571e-04,-1.852004887945608580e+00,0.000000000000000000e+00,8.778316003433423997e-01,0.000000000000000000e+00
5.000000000000000104e-03,2.141907252371311188e-02,9.722576476633548737e-03,-1.127530820667743683e-03,4.067151862544279517e+00,-1.555051610007578966e-01,1.064305871354790867e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.495000457244545250e-04,-1.833761008975878015e+00,0.000000000000000000e+00,9.233800061426943317e-01,0.000000000000000000e+00,1.477392432199727023e-04,-1.832979812802510322e+00,0.000000000000000000e+00,9.244769210376552193e-01,0.000000000000000000e+00,1.109856532892796832e-04,-1.852580187448646720e+00,0.000000000000000000e+00,8.785276895793548979e-01,0.000000000000000000e+00,1.139183681399907167e-04,-1.851757633525457303e+00,0.000000000000000000e+00,8.780853856696752002e-01,0.000000000000000000e+00
1.000000000000000021e-02,4.260052368044853210e-02,-1.427211984992027283e-02,-2.326494082808494568e-03,4.067362796893689847e+00,-1.550894931553356559e-01,1.063252268163340553e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.485710921306536450e-05,-1.833420533392179586e+00,0.000000000000000000e+00,9.241160307570591703e-01,0.000000000000000000e+00,3.310908847996361492e-05,-1.832727308099985519e+00,0.000000000000000000e+00,9.252531556443566174e-01,0.000000000000000000e+00,-1.277981173725716146e-05,-1.852266584333865929e+00,0.000000000000000000e+00,8.793004299485408515e-01,0.000000000000000000e+00,-9.754303321260837461e-06,-1.851523539806742447e+00,0.000000000000000000e+00,8.788912337952157205e-01,0.000000000000000000e+00
1.499999999999999944e-02,6.150342151522636414e-02,-3.732776641845703125e-02,-3.408547490835189819e-03,4.065943826292028440e+00,-1.539127628808873993e-01,1.061899912409822377e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.654351884378129787e-04,-1.832776300613786491e+00,0.000000000000000000e+00,9.251861974931954169e-01,0.000000000000000000e+00,-1.671922653104231072e-04,-1.832250799018450005e+00,0.000000000000000000e+00,9.264007264338760539e-01,0.000000000000000000e+00,-2.299325459593275992e-04,-1.851959594471400905e+00,0.000000000000000000e+00,8.805803700567224057e-01,0.000000000000000000e+00,-2.268285016106682487e-04,-1.851367432352226450e+00,0.000000000000000000e+00,8.802346803357132821e-01,0.000000000000000000e+00
2.000000000000000042e-02,7.819951325654983521e-02,-5.940091982483863831e-02,-4.379180725663900375e-03,4.063074401073227371e+00,-1.517040084801675459e-01,1.060302482470568108e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-4.404920263495248943e-04,-1.831835913990190745e+00,0.000000000000000000e+00,9.265884363138586766e-01,0.000000000000000000e+00,-4.422937203287513066e-04,-1.831550925987816436e+00,0.000000000000000000e+00,9.279146312817320164e-01,0.000000000000000000e+00,-5.288732495252284043e-04,-1.851655973727462934e+00,0.000000000000000000e+00,8.823605159771862327e-01,0.000000000000000000e+00,-5.257239827287340768e-04,-1.851280104362262646e+00,0.000000000000000000e+00,8.821065191079286993e-01,0.000000000000000000e+00
2.500000000000000139e-02,9.280629456043243408e-02,-8.046337217092514038e-02,-5.246000830084085464e-03,4.058801547245411534e+00,-1.484554220485902187e-01,1.058471953093647677e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-7.796392505389193031e-04,-1.830607710539886135e+00,0.000000000000000000e+00,9.283201646261599604e-01,0.000000000000000000e+00,-7.815365269474768570e-04,-1.830629465124517186e+00,0.000000000000000000e+00,9.297896262658523758e-01,0.000000000000000000e+00,-8.982609383641887695e-04,-1.851351737696798283e+00,0.000000000000000000e+00,8.846329691711688481e-01,0.000000000000000000e+00,-8.951216687838898373e-04,-1.851251697687144926e+00,0.000000000000000000e+00,8.844967308254221283e-01,0.000000000000000000e+00
2.999999999999999889e-02,1.054426729679107666e-01,-1.004885733127593994e-01,-6.016239523887634277e-03,4.053153021777350595e+00,-1.441731299247087927e-01,1.056414494148950745e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.172783410119689453e-03,-1.829098991074174618e+00,0.000000000000000000e+00,9.303775257020702183e-01,0.000000000000000000e+00,-1.174841910388539331e-03,-1.829487595596378746e+00,0.000000000000000000e+00,9.320194525009695141e-01,0.000000000000000000e+00,-1.327398306110077423e-03,-1.851042226195395379e+00,0.000000000000000000e+00,8.873891091285175392e-01,0.000000000000000000e+00,-1.324346105842842637e-03,-1.851271955419708792e+00,0.000000000000000000e+00,8.873947331806421035e-01,0.000000000000000000e+00
3.500000000000000333e-02,1.162284612655639648e-01,-1.194532737135887146e-01,-6.696891970932483673e-03,4.046173653827557892e+00,-1.388668709905896137e-01,1.054139141952336800e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.610440680968796201e-03,-1.827316670194494952e+00,0.000000000000000000e+00,9.327557847831048354e-01,0.000000000000000000e+00,-1.612738199024899488e-03,-1.828126413633832881e+00,0.000000000000000000e+00,9.345971475544389007e-01,0.000000000000000000e+00,-1.806251162626138504e-03,-1.850722122680968029e+00,0.000000000000000000e+00,8.906196074149445030e-01,0.000000000000000000e+00,-1.803382757316494963e-03,-1.851330244464438390e+00,0.000000000000000000e+00,8.907893878827869427e-01,0.000000000000000000e+00
4.000000000000000083e-02,1.252827793359756470e-01,-1.373374462127685547e-01,-7.294598966836929321e-03,4.037915395476672664e+00,-1.325500298158145962e-01,1.051655763386414755e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.083752498480328976e-03,-1.825267277061292326e+00,0.000000000000000000e+00,9.354493834354467019e-01,0.000000000000000000e+00,-2.086375248753741252e-03,-1.826546972339797126e+00,0.000000000000000000e+00,9.375151094730943546e-01,0.000000000000000000e+00,-2.325456146435215133e-03,-1.850385477557120906e+00,0.000000000000000000e+00,8.943144489133215691e-01,0.000000000000000000e+00,-2.322884196902939152e-03,-1.851415575553852610e+00,0.000000000000000000e+00,8.946690119855009726e-01,0.000000000000000000e+00
4.499999999999999833e-02,1.327240914106369019e-01,-1.541244983673095703e-01,-7.815659977495670319e-03,4.028436790233542730e+00,-1.252395518182733425e-01,1.048975050291560507e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.584493468911411209e-03,-1.822956957646808318e+00,0.000000000000000000e+00,9.384519957881182206e-01,0.000000000000000000e+00,-2.587531617463331886e-03,-1.824750263398011052e+00,0.000000000000000000e+00,9.407651319709587900e-01,0.000000000000000000e+00,-2.876321103648614690e-03,-1.850025734066685468e+00,0.000000000000000000e+00,8.984629544008271296e-01,0.000000000000000000e+00,-2.874169506244519598e-03,-1.851516622960815983e+00,0.000000000000000000e+00,8.990213901687654774e-01,0.000000000000000000e+00
5.000000000000000278e-02,1.386687308549880981e-01,-1.698010414838790894e-01,-8.265991695225238800e-03,3.325460024042220297e+00,1.274851525661019114e+00,1.032031059393753125e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.105075644456579357e-03,-1.820391475983625718e+00,0.000000000000000000e+00,9.417565851830285162e-01,0.000000000000000000e+00,-3.108618518472890547e-03,-1.822737198984815787e+00,0.000000000000000000e+00,9.443384415383174746e-01,0.000000000000000000e+00,-3.450822907406962160e-03,-1.849635754776161489e+00,0.000000000000000000e+00,9.030538038074122920e-01,0.000000000000000000e+00,-3.449221570445096686e-03,-1.851621744017589055e+00,0.000000000000000000e+00,9.038337878279224524e-01,0.000000000000000000e+00
5.500000000000000028e-02,1.404077112674713135e-01,-1.172198876738548279e-01,1.025450043380260468e-02,3.830447855695900738e+00,2.595121047442758844e+00,6.635094082724370068e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.720956554037654386e-03,-1.817728784031862110e+00,0.000000000000000000e+00,9.452978138145038400e-01,0.000000000000000000e+00,-3.466109623376002931e-03,-1.820997173672325831e+00,0.000000000000000000e+00,9.475639522656510438e-01,0.000000000000000000e+00,-4.093057686415727849e-03,-1.849085185107180562e+00,0.000000000000000000e+00,9.071815974991676024e-01,0.000000000000000000e+00,-4.092451280841034877e-03,-1.851583973035370256e+00,0.000000000000000000e+00,9.089018917901502403e-01,0.000000000000000000e+00
5.999999999999999778e-02,1.718476265668869019e-01,-2.489516139030456543e-01,-3.137415274977684021e-02,5.121468734469784678e+00,2.650178660956154175e+00,3.464569563997211610e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.539660098388234241e-03,-1.815434925648019560e+00,0.000000000000000000e+00,9.495006888112531573e-01,0.000000000000000000e+00,-1.002350501480896248e-04,-1.838906394385043219e+00,0.000000000000000000e+00,9.563984249561526818e-01,0.000000000000000000e+00,-7.707802562157861637e-03,-1.866448301553557343e+00,0.000000000000000000e+00,9.162184631969297888e-01,0.000000000000000000e+00,-5.081652499359968177e-03,-1.851937369188088933e+00,0.000000000000000000e+00,9.145487245643215690e-01,0.000000000000000000e+00
6.500000000000000222e-02,2.297061085700988770e-01,-3.838945925235748291e-01,-1.230274979025125504e-02,4.992377794025256499e+00,2.882860203905563967e+00,4.222438536977731083e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.705838313167658007e-03,-1.813400382915950626e+00,0.000000000000000000e+00,9.549999910275679404e-01,0.000000000000000000e+00,7.482981309631894437e-03,-1.886839857874267556e+00,0.000000000000000000e+00,9.783434197095274287e-01,0.000000000000000000e+00,-1.489629753921644685e-02,-1.912751093697551363e+00,0.000000000000000000e+00,9.373998211445901951e-01,0.000000000000000000e+00,-6.589931175069604907e-03,-1.853894993164838967e+00,0.000000000000000000e+00,9.221057011378819279e-01,0.000000000000000000e+00
7.000000000000000666e-02,2.961269319057464600e-01,-4.869029819965362549e-01,4.105158895254135132e-02,4.449235914590761176e+00,3.018396128179034132e+00,5.177733350299094539e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.519998464469731733e-03,-1.811597563589852689e+00,0.000000000000000000e+00,9.616313552831119438e-01,0.000000000000000000e+00,1.533555623140812722e-02,-1.951367174412901528e+00,0.000000000000000000e+00,1.009984714109523729e+00,0.000000000000000000e+00,-2.208502170302083234e-02,-1.975220034064492536e+00,0.000000000000000000e+00,9.671070829191121820e-01,0.000000000000000000e+00,-8.561381366340234042e-03,-1.857433939476742069e+00,0.000000000000000000e+00,9.317011266739700925e-01,0.000000000000000000e+00
7.499999999999999722e-02,3.415355682373046875e-01,-5.468419194221496582e-01,9.856373816728591919e-02,3.819156325236058080e+00,3.026646623670610659e+00,6.542243062776192275e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.008214521474700733e-02,-1.810122698882550729e+00,0.000000000000000000e+00,9.691683671800703781e-01,0.000000000000000000e+00,2.070718981452154828e-02,-2.023230366567307037e+00,0.000000000000000000e+00,1.047408427245569706e+00,0.000000000000000000e+00,-2.686291201515084159e-02,-2.044842881810522428e+00,0.000000000000000000e+00,1.001691428332168954e+00,0.000000000000000000e+00,-1.091840720885319492e-02,-1.862243611775171281e+00,0.000000000000000000e+00,9.430429362580012853e-01,0.000000000000000000e+00
8.000000000000000167e-02,3.398553729057312012e-01,-5.633547306060791016e-01,1.394062638282775879e-01,3.282813907429904976e+00,2.927685826760644261e+00,8.345450342993087745e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.325072271721823743e-02,-1.809052044585102381e+00,0.000000000000000000e+00,9.773823750360015605e-01,0.000000000000000000e+00,2.247308895402263390e-02,-2.096379817132241197e+00,0.000000000000000000e+00,1.086658243390656864e+00,0.000000000000000000e+00,-2.818265090869678455e-02,-2.115609736678293995e+00,0.000000000000000000e+00,1.038084486519049499e+00,0.000000000000000000e+00,-1.352557888040351562e-02,-1.867808731782034215e+00,0.000000000000000000e+00,9.555910240655646204e-01,0.000000000000000000e+00
8.500000000000000611e-02,2.783675193786621094e-01,-5.416350364685058594e-01,1.575858443975448608e-01,2.917224808164573524e+00,2.778102392256669884e+00,1.033071122447945989e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.670614257865874960e-02,-1.808379551696636556e+00,0.000000000000000000e+00,9.860490141925227769e-01,0.000000000000000000e+00,2.113429782248337982e-02,-2.166775354943113019e+00,0.000000000000000000e+00,1.124041574411181132e+00,0.000000000000000000e+00,-2.621281238556464818e-02,-2.183312004671789985e+00,0.000000000000000000e+00,1.073672650535926643e+00,0.000000000000000000e+00,-1.618200283114449439e-02,-1.873485238650112183e+00,0.000000000000000000e+00,9.686870960387748974e-01,0.000000000000000000e+00
8.999999999999999667e-02,1.636893153190612793e-01,-4.896286129951477051e-01,1.594664752483367920e-01,2.729634306437827895e+00,2.637237315449623143e+00,1.210709615370185332e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.007316635871098792e-02,-1.808024411697205069e+00,0.000000000000000000e+00,9.949515475482835214e-01,0.000000000000000000e+00,1.830379540429738147e-02,-2.231552665096741883e+00,0.000000000000000000e+00,1.156505881875910413e+00,0.000000000000000000e+00,-2.184250334930210730e-02,-2.244850077822240220e+00,0.000000000000000000e+00,1.106078324024893478e+00,0.000000000000000000e+00,-1.864890044401607341e-02,-1.878612317963547662e+00,0.000000000000000000e+00,9.816838822670588272e-01,0.000000000000000000e+00
9.500000000000000111e-02,1.865976676344871521e-02,-4.170915186405181885e-01,1.549580395221710205e-01,2.687360368259565480e+00,2.534347778788841765e+00,1.337547254354782389e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.305119802604886983e-02,-1.807871014067204074e+00,0.000000000000000000e+00,1.003894840506119879e+00,0.000000000000000000e+00,1.586425122146974120e-02,-2.288587062796300309e+00,0.000000000000000000e+00,1.181902175685425771e+00,0.000000000000000000e+00,-1.608866720722071722e-02,-2.297967830407040335e+00,0.000000000000000000e+00,1.133128965855211945e+00,0.000000000000000000e+00,-2.071304908395965247e-02,-1.882634708042825844e+00,0.000000000000000000e+00,9.940563603422654104e-01,0.000000000000000000e+00
